time,IP,SXR,FIR,PD,WP,P_LHfr_RT,LHD_label,ELM_label,ST_MD_label1,ST_MD_label2
0.0141,-50106.4453125,0.343062640907205,6.76202083751716e+18,2.32421875,9.2771282652393e-05,1.71436335276314,1,0,0,0
0.0142,-50745.07421875,0.342464182276579,6.76953737388255e+18,2.3046875,9.93851208477281e-05,1.71436335276314,1,0,0,0
0.0143,-51348.41015625,0.340956629109322,6.7816148219189e+18,2.2705078125,0.000100614597613458,1.71436335276314,1,0,0,0
0.0144,-51886.95703125,0.33985285206824,6.81761475675764e+18,2.28515625,9.76285446085967e-05,1.71436335276314,1,0,0,0
0.0145,-52343.5390625,0.336875042162937,6.86911615628057e+18,2.2900390625,8.86039342731237e-05,1.71436335276314,1,0,0,0
0.0146,-52791.90234375,0.338754717021102,6.88740886867083e+18,2.28515625,7.82213828642853e-05,1.71436335276314,1,0,0,0
0.0147,-53315.6875,0.340044967454783,6.88088093069777e+18,2.2900390625,7.2505536081735e-05,1.71436335276314,1,0,0,0
0.0148,-53793.125,0.341647902360677,6.89881300327413e+18,2.2998046875,7.27167644072324e-05,1.71436335276314,1,0,0,0
0.0149,-54172.63671875,0.34138068110421,6.92689054451787e+18,2.294921875,7.50933904782869e-05,1.71436335276314,1,0,0,0
0.015,-54566.1171875,0.3406341977153,6.90185988743365e+18,2.314453125,7.09354208083823e-05,1.71436335276314,1,0,0,0
0.0151,-55011.6640625,0.338532077142538,6.9015590335645e+18,2.36328125,6.02965228608809e-05,1.71436335276314,1,0,0,0
0.0152,-55524.40234375,0.338605904910858,6.92632223444527e+18,2.2998046875,4.86694698338397e-05,1.71436335276314,1,0,0,0
0.0153,-56009.9921875,0.340534544628651,6.99089229173699e+18,2.2607421875,4.26069491368253e-05,1.71436335276314,1,0,0,0
0.0154,-56639.09765625,0.34155576600463,7.03819465635345e+18,2.2705078125,4.76236091344617e-05,1.71436335276314,1,0,0,0
0.0155,-56639.09765625,0.342027225627963,7.05220490839248e+18,2.333984375,4.76236091344617e-05,1.71436335276314,1,0,0,0
0.0156,-56990.6875,0.342059584952051,7.01029248721433e+18,2.3583984375,5.55128171981778e-05,1.71436335276314,1,0,0,0
0.0157,-57511.203125,0.341822288164489,7.06772135392261e+18,2.353515625,5.63598077860661e-05,1.71436335276314,1,0,0,0
0.0158,-58032.39453125,0.341239246544226,7.05005866169506e+18,2.3291015625,4.74510925414506e-05,1.71436335276314,1,0,0,0
0.0159,-58482.32421875,0.339656064058573,7.07124267734952e+18,2.314453125,3.63585240847897e-05,1.71436335276314,1,0,0,0
0.016,-58706.99609375,0.341256161987885,7.01520812882421e+18,2.265625,3.36987286573276e-05,1.71436335276314,1,0,0,0
0.0161,-59026.8828125,0.342305736656869,7.02164673147752e+18,2.3388671875,4.36845584772527e-05,1.71436335276314,1,0,0,0
0.0162,-59026.8828125,0.343150388947679,6.99344343359134e+18,2.34375,4.36845584772527e-05,1.71436335276314,1,0,0,0
0.0163,-59398.87109375,0.342619010079067,7.0369577057722e+18,2.36328125,6.08974805800244e-05,1.71436335276314,1,0,0,0
0.0164,-59807.49609375,0.342175338185504,7.04048342724562e+18,2.40234375,6.67882850393653e-05,1.71436335276314,1,0,0,0
0.0165,-60378.76171875,0.341507387260698,7.03175536650538e+18,2.3828125,6.04704255238175e-05,1.71436335276314,1,0,0,0
0.0166,-60848.86328125,0.340280421810251,7.02952899289809e+18,2.34375,4.89052399643697e-05,1.71436335276314,1,0,0,0
0.0167,-61049.1640625,0.339797549256944,7.00635939668283e+18,2.3095703125,4.04404054279439e-05,1.71436335276314,1,0,0,0
0.0168,-61047.2421875,0.340732981968871,6.97074099237893e+18,2.2802734375,3.2672040106263e-05,1.71436335276314,1,0,0,0
0.0169,-61032.68359375,0.341697049160447,6.94680393704748e+18,2.3291015625,3.1603794923285e-05,1.71436335276314,1,0,0,0
0.017,-61215.921875,0.341839673346279,6.9366135258423e+18,2.3291015625,4.41483862232417e-05,1.71436335276314,1,0,0,0
0.0171,-61493.08203125,0.342447016749247,6.9173931005161e+18,2.353515625,5.74542245885823e-05,1.71436335276314,1,0,0,0
0.0172,-61878.71484375,0.341809842338129,6.92963176444487e+18,2.3828125,6.11205032328144e-05,1.71436335276314,1,0,0,0
0.0173,-62306.4140625,0.341485194975005,6.90254185952077e+18,2.3828125,5.85022280574776e-05,1.71436335276314,1,0,0,0
0.0174,-62636.5234375,0.340407638400028,6.89479318876298e+18,2.3779296875,5.25151845067739e-05,1.71436335276314,1,0,0,0
0.0175,-62794.82421875,0.34073931614646,6.88069140238094e+18,2.353515625,4.65897319372743e-05,1.71436335276314,1,0,0,0
0.0176,-62863.76953125,0.343053733966429,6.81405412579004e+18,2.3046875,3.82771031581797e-05,1.71436335276314,1,0,0,0
0.0177,-62878.17578125,0.344879746130326,6.7702145356063e+18,2.3388671875,3.76528187189251e-05,1.71436335276314,1,0,0,0
0.0178,-62849.9921875,0.344699168142435,6.74376138535364e+18,2.32421875,4.55674853583332e-05,1.71436335276314,1,0,0,0
0.0179,-62919.296875,0.343302112754447,6.77092413292308e+18,2.34375,4.98462650284637e-05,1.71436335276314,1,0,0,0
0.018,-63141.10546875,0.342492746174367,6.77276801392286e+18,2.3095703125,5.00475834996905e-05,1.71436335276314,1,0,0,0
0.0181,-63446.6484375,0.341782540550925,6.77467291781798e+18,2.3486328125,5.15590108989272e-05,1.71436335276314,1,0,0,0
0.0182,-63725.21484375,0.341167305583313,6.7613336427498e+18,2.314453125,5.11581492901314e-05,1.71436335276314,1,0,0,0
0.0183,-63908.5546875,0.342241974252422,6.7554967478348e+18,2.3291015625,4.59386101283599e-05,1.71436335276314,1,0,0,0
0.0184,-63984.3671875,0.342262860295178,6.753224607056e+18,2.2900390625,3.5101442335872e-05,1.71436335276314,1,0,0,0
0.0185,-64028.296875,0.341812082042454,6.72719119536724e+18,2.2705078125,2.78569477814017e-05,1.71436335276314,1,0,0,0
0.0186,-64026.97265625,0.341769691051781,6.68810025846492e+18,2.2509765625,2.87151087832171e-05,1.71436335276314,1,0,0,0
0.0187,-64067.9140625,0.342600193395614,6.65010539721654e+18,2.3779296875,2.83410299743991e-05,1.71436335276314,1,0,0,0
0.0188,-64123.6953125,0.343450429498406,6.7003152828937e+18,2.4072265625,2.86563408735674e-05,1.71436335276314,1,0,0,0
0.0189,-64293.26953125,0.343210136866845,6.65411091807653e+18,2.353515625,2.8720174668706e-05,1.71436335276314,1,0,0,0
0.019,-64755.33203125,0.34037697156942,6.6223406670309e+18,2.265625,2.18840341403848e-05,1.71436335276314,1,0,0,0
0.0191,-64755.33203125,0.340490609298841,6.58734719764844e+18,2.3291015625,2.18840341403848e-05,1.71436335276314,1,0,0,0
0.0192,-64845.7109375,0.341802978762187,6.43442808253003e+18,2.51953125,7.01015051163267e-06,1.71436335276314,1,0,0,0
0.0193,-64944.99609375,0.342822961600248,6.39191051763974e+18,2.4072265625,1.5085678342075e-06,1.71436335276314,1,0,0,0
0.0194,-65134.40625,0.344143023947441,6.43717988525644e+18,2.392578125,6.71960015097284e-06,1.71436335276314,1,0,0,0
0.0195,-65309.828125,0.344796431888375,6.31325983956481e+18,2.3486328125,1.90697792277206e-05,1.71436335276314,1,0,0,0
0.0196,-65424.51953125,0.344831762821921,6.3723853901537e+18,2.353515625,2.91843280137982e-05,1.71436335276314,1,0,0,0
0.0197,-65367.63671875,0.343500184896615,6.27969381115311e+18,2.4072265625,2.98716913675889e-05,1.71436335276314,1,0,0,0
0.0198,-65367.63671875,0.339600903131457,6.22824821184528e+18,2.3291015625,2.98716913675889e-05,1.71436335276314,1,0,0,0
